dataset,method,mode,repetition,accuracy,balacc
BME,NN,fine-tune,10,0.5933333333333334,0.5933333333333334
BME,SVM,pretrained-small,1,0.4866666666666667,0.4866666666666666
BME,SVM,pretrained-small,2,0.4866666666666667,0.4866666666666666
BME,SVM,pretrained-small,3,0.4866666666666667,0.4866666666666666
BME,SVM,pretrained-small,4,0.4866666666666667,0.4866666666666666
BME,SVM,pretrained-small,5,0.4866666666666667,0.4866666666666666
BME,SVM,pretrained-small,6,0.4866666666666667,0.4866666666666666
BME,SVM,pretrained-small,7,0.4866666666666667,0.4866666666666666
BME,SVM,pretrained-small,8,0.4866666666666667,0.4866666666666666
BME,SVM,pretrained-small,9,0.4866666666666667,0.4866666666666666
BME,SVM,pretrained-small,10,0.4866666666666667,0.4866666666666666
Mallat,SVM,fine-tune,1,0.6332622601279317,0.6355119903571255
Mallat,NN,fine-tune,1,0.8208955223880597,0.8215792997291562
Mallat,SVM,fine-tune,2,0.6332622601279317,0.6355119903571255
Mallat,NN,fine-tune,2,0.8017057569296375,0.8027320342297827
Mallat,SVM,fine-tune,3,0.6332622601279317,0.6355119903571255
Mallat,NN,fine-tune,3,0.7833688699360342,0.7844107066291741
Mallat,SVM,fine-tune,4,0.6332622601279317,0.6355119903571255
Mallat,NN,fine-tune,4,0.7948827292110874,0.7957210503750948
Mallat,SVM,fine-tune,5,0.6332622601279317,0.6355119903571255
Mallat,NN,fine-tune,5,0.7940298507462686,0.7948706055696562
Mallat,SVM,fine-tune,6,0.6332622601279317,0.6355119903571255
Mallat,NN,fine-tune,6,0.8345415778251599,0.8349037024385193
Mallat,SVM,fine-tune,7,0.6332622601279317,0.6355119903571255
Mallat,NN,fine-tune,7,0.7957356076759062,0.7966552685126157
Mallat,SVM,fine-tune,8,0.6332622601279317,0.6355119903571255
Mallat,NN,fine-tune,8,0.8247334754797442,0.8253437097642642
Mallat,SVM,fine-tune,9,0.6332622601279317,0.6355119903571255
Mallat,NN,fine-tune,9,0.8098081023454158,0.8108417927968948
Mallat,SVM,fine-tune,10,0.6332622601279317,0.6355119903571255
Mallat,NN,fine-tune,10,0.814498933901919,0.8153769618151432
Mallat,SVM,pretrained-small,1,0.5492537313432836,0.5518956711849794
Mallat,SVM,pretrained-small,2,0.5492537313432836,0.5518956711849794
Mallat,SVM,pretrained-small,3,0.5492537313432836,0.5518956711849794
Mallat,SVM,pretrained-small,4,0.5492537313432836,0.5518956711849794
Mallat,SVM,pretrained-small,5,0.5492537313432836,0.5518956711849794
Mallat,SVM,pretrained-small,6,0.5492537313432836,0.5518956711849794
Mallat,SVM,pretrained-small,7,0.5492537313432836,0.5518956711849794
Mallat,SVM,pretrained-small,8,0.5492537313432836,0.5518956711849794
Mallat,SVM,pretrained-small,9,0.5492537313432836,0.5518956711849794
Mallat,SVM,pretrained-small,10,0.5492537313432836,0.5518956711849794
InlineSkate,SVM,fine-tune,1,0.22,0.1967702256193591
InlineSkate,NN,fine-tune,1,0.3745454545454545,0.3898549940976714
InlineSkate,SVM,fine-tune,2,0.22,0.1967702256193591
InlineSkate,NN,fine-tune,2,0.3818181818181818,0.4011727315782041
InlineSkate,SVM,fine-tune,3,0.22,0.1967702256193591
InlineSkate,NN,fine-tune,3,0.3490909090909091,0.3644324248944745
InlineSkate,SVM,fine-tune,4,0.22,0.1967702256193591
InlineSkate,NN,fine-tune,4,0.36,0.3747277235299618
InlineSkate,SVM,fine-tune,5,0.22,0.1967702256193591
InlineSkate,NN,fine-tune,5,0.3981818181818182,0.4171477011787226
InlineSkate,SVM,fine-tune,6,0.22,0.1967702256193591
InlineSkate,NN,fine-tune,6,0.3709090909090909,0.3920328477904093
InlineSkate,SVM,fine-tune,7,0.22,0.1967702256193591
InlineSkate,NN,fine-tune,7,0.3654545454545455,0.3810327900980112
InlineSkate,SVM,fine-tune,8,0.22,0.1967702256193591
InlineSkate,NN,fine-tune,8,0.3745454545454545,0.3939814272966466
InlineSkate,SVM,fine-tune,9,0.22,0.1967702256193591
InlineSkate,NN,fine-tune,9,0.3690909090909091,0.3951081412237237
InlineSkate,SVM,fine-tune,10,0.22,0.1967702256193591
InlineSkate,NN,fine-tune,10,0.3745454545454545,0.3937814715075313
InlineSkate,SVM,pretrained-small,1,0.1709090909090909,0.1554513878532295
InlineSkate,SVM,pretrained-small,2,0.1709090909090909,0.1554513878532295
InlineSkate,SVM,pretrained-small,3,0.1709090909090909,0.1554513878532295
InlineSkate,SVM,pretrained-small,4,0.1709090909090909,0.1554513878532295
InlineSkate,SVM,pretrained-small,5,0.1709090909090909,0.1554513878532295
InlineSkate,SVM,pretrained-small,6,0.1709090909090909,0.1554513878532295
InlineSkate,SVM,pretrained-small,7,0.1709090909090909,0.1554513878532295
InlineSkate,SVM,pretrained-small,8,0.1709090909090909,0.1554513878532295
InlineSkate,SVM,pretrained-small,9,0.1709090909090909,0.1554513878532295
InlineSkate,SVM,pretrained-small,10,0.1709090909090909,0.1554513878532295
FreezerRegularTrain,SVM,fine-tune,1,0.755438596491228,0.755438596491228
FreezerRegularTrain,NN,fine-tune,1,0.8810526315789474,0.8810526315789473
FreezerRegularTrain,SVM,fine-tune,2,0.755438596491228,0.755438596491228
FreezerRegularTrain,NN,fine-tune,2,0.8845614035087719,0.8845614035087719
FreezerRegularTrain,SVM,fine-tune,3,0.755438596491228,0.755438596491228
FreezerRegularTrain,NN,fine-tune,3,0.8698245614035087,0.8698245614035087
FreezerRegularTrain,SVM,fine-tune,4,0.755438596491228,0.755438596491228
FreezerRegularTrain,NN,fine-tune,4,0.8792982456140351,0.879298245614035
FreezerRegularTrain,SVM,fine-tune,5,0.755438596491228,0.755438596491228
FreezerRegularTrain,NN,fine-tune,5,0.8673684210526316,0.8673684210526316
FreezerRegularTrain,SVM,fine-tune,6,0.755438596491228,0.755438596491228
FreezerRegularTrain,NN,fine-tune,6,0.8726315789473684,0.8726315789473684
FreezerRegularTrain,SVM,fine-tune,7,0.755438596491228,0.755438596491228
FreezerRegularTrain,NN,fine-tune,7,0.8691228070175439,0.8691228070175439
FreezerRegularTrain,SVM,fine-tune,8,0.755438596491228,0.755438596491228
FreezerRegularTrain,NN,fine-tune,8,0.8621052631578947,0.8621052631578947
FreezerRegularTrain,SVM,fine-tune,9,0.755438596491228,0.755438596491228
FreezerRegularTrain,NN,fine-tune,9,0.8757894736842106,0.8757894736842106
FreezerRegularTrain,SVM,fine-tune,10,0.755438596491228,0.755438596491228
FreezerRegularTrain,NN,fine-tune,10,0.8487719298245614,0.8487719298245614
FreezerRegularTrain,SVM,pretrained-small,1,0.8133333333333334,0.8133333333333332
FreezerRegularTrain,SVM,pretrained-small,2,0.8133333333333334,0.8133333333333332
FreezerRegularTrain,SVM,pretrained-small,3,0.8133333333333334,0.8133333333333332
FreezerRegularTrain,SVM,pretrained-small,4,0.8133333333333334,0.8133333333333332
FreezerRegularTrain,SVM,pretrained-small,5,0.8133333333333334,0.8133333333333332
FreezerRegularTrain,SVM,pretrained-small,6,0.8133333333333334,0.8133333333333332
FreezerRegularTrain,SVM,pretrained-small,7,0.8133333333333334,0.8133333333333332
FreezerRegularTrain,SVM,pretrained-small,8,0.8133333333333334,0.8133333333333332
FreezerRegularTrain,SVM,pretrained-small,9,0.8133333333333334,0.8133333333333332
FreezerRegularTrain,SVM,pretrained-small,10,0.8133333333333334,0.8133333333333332
OliveOil,SVM,fine-tune,1,0.6666666666666666,0.4791666666666666
OliveOil,NN,fine-tune,1,0.9,0.8541666666666666
OliveOil,SVM,fine-tune,2,0.6666666666666666,0.4791666666666666
OliveOil,NN,fine-tune,2,0.9333333333333332,0.9166666666666666
OliveOil,SVM,fine-tune,3,0.6666666666666666,0.4791666666666666
OliveOil,NN,fine-tune,3,0.9,0.825
OliveOil,SVM,fine-tune,4,0.6666666666666666,0.4791666666666666
OliveOil,NN,fine-tune,4,0.9666666666666668,0.9791666666666666
OliveOil,SVM,fine-tune,5,0.6666666666666666,0.4791666666666666
OliveOil,NN,fine-tune,5,0.9333333333333332,0.9222222222222224
OliveOil,SVM,fine-tune,6,0.6666666666666666,0.4791666666666666
OliveOil,NN,fine-tune,6,0.8333333333333334,0.7472222222222222
