dataset,method,mode,repetition,accuracy
Haptics,SVM,pretrained-small,2,0.3474025974025974
Haptics,NN,pretrained-small,2,0.38311688311688313
Haptics,SVM,pretrained-small,3,0.3474025974025974
Haptics,NN,pretrained-small,3,0.38961038961038963
Haptics,SVM,pretrained-small,4,0.3474025974025974
Haptics,NN,pretrained-small,4,0.38636363636363635
Haptics,SVM,pretrained-small,5,0.3474025974025974
Haptics,NN,pretrained-small,5,0.38636363636363635
Haptics,SVM,pretrained-small,6,0.3474025974025974
Haptics,NN,pretrained-small,6,0.38636363636363635
Haptics,SVM,pretrained-small,7,0.3474025974025974
Haptics,NN,pretrained-small,7,0.38636363636363635
Haptics,SVM,pretrained-small,8,0.3474025974025974
Haptics,NN,pretrained-small,8,0.38961038961038963
Haptics,SVM,pretrained-small,9,0.3474025974025974
Haptics,NN,pretrained-small,9,0.38311688311688313
Haptics,SVM,pretrained-small,10,0.3474025974025974
Haptics,NN,pretrained-small,10,0.38636363636363635
CBF,SVM,fine-tune,1,0.5055555555555555
CBF,NN,fine-tune,1,0.6933333333333334
CBF,SVM,fine-tune,2,0.5055555555555555
CBF,NN,fine-tune,2,0.6922222222222222
CBF,SVM,fine-tune,3,0.5055555555555555
CBF,NN,fine-tune,3,0.6977777777777778
CBF,SVM,fine-tune,4,0.5055555555555555
CBF,NN,fine-tune,4,0.6977777777777778
CBF,SVM,fine-tune,5,0.5055555555555555
CBF,NN,fine-tune,5,0.6966666666666667
CBF,SVM,fine-tune,6,0.5055555555555555
CBF,NN,fine-tune,6,0.6955555555555556
CBF,SVM,fine-tune,7,0.5055555555555555
CBF,NN,fine-tune,7,0.6944444444444444
CBF,SVM,fine-tune,8,0.5055555555555555
CBF,NN,fine-tune,8,0.6944444444444444
CBF,SVM,fine-tune,9,0.5055555555555555
CBF,NN,fine-tune,9,0.6944444444444444
CBF,SVM,fine-tune,10,0.5055555555555555
CBF,NN,fine-tune,10,0.6944444444444444
CBF,SVM,pretrained-small,1,0.43444444444444447
CBF,NN,pretrained-small,1,0.6544444444444445
CBF,SVM,pretrained-small,2,0.43444444444444447
CBF,NN,pretrained-small,2,0.67
CBF,SVM,pretrained-small,3,0.43444444444444447
CBF,NN,pretrained-small,3,0.6688888888888889
CBF,SVM,pretrained-small,4,0.43444444444444447
CBF,NN,pretrained-small,4,0.6688888888888889
CBF,SVM,pretrained-small,5,0.43444444444444447
CBF,NN,pretrained-small,5,0.6688888888888889
CBF,SVM,pretrained-small,6,0.43444444444444447
CBF,NN,pretrained-small,6,0.6688888888888889
CBF,SVM,pretrained-small,7,0.43444444444444447
CBF,NN,pretrained-small,7,0.6688888888888889
CBF,SVM,pretrained-small,8,0.43444444444444447
CBF,NN,pretrained-small,8,0.6688888888888889
CBF,SVM,pretrained-small,9,0.43444444444444447
CBF,NN,pretrained-small,9,0.6688888888888889
CBF,SVM,pretrained-small,10,0.43444444444444447
CBF,NN,pretrained-small,10,0.6688888888888889
WordSynonyms,SVM,fine-tune,1,0.33699059561128525
WordSynonyms,NN,fine-tune,1,0.4090909090909091
WordSynonyms,SVM,fine-tune,2,0.33699059561128525
WordSynonyms,NN,fine-tune,2,0.4216300940438871
WordSynonyms,SVM,fine-tune,3,0.33699059561128525
WordSynonyms,NN,fine-tune,3,0.4122257053291536
WordSynonyms,SVM,fine-tune,4,0.33699059561128525
WordSynonyms,NN,fine-tune,4,0.4106583072100313
WordSynonyms,SVM,fine-tune,5,0.33699059561128525
WordSynonyms,NN,fine-tune,5,0.4153605015673981
WordSynonyms,SVM,fine-tune,6,0.33699059561128525
WordSynonyms,NN,fine-tune,6,0.4106583072100313
WordSynonyms,SVM,fine-tune,7,0.33699059561128525
WordSynonyms,NN,fine-tune,7,0.4216300940438871
WordSynonyms,SVM,fine-tune,8,0.33699059561128525
WordSynonyms,NN,fine-tune,8,0.4043887147335423
WordSynonyms,SVM,fine-tune,9,0.33699059561128525
WordSynonyms,NN,fine-tune,9,0.42476489028213166
WordSynonyms,SVM,fine-tune,10,0.33699059561128525
WordSynonyms,NN,fine-tune,10,0.4153605015673981
WordSynonyms,SVM,pretrained-small,1,0.3448275862068966
WordSynonyms,NN,pretrained-small,1,0.41379310344827586
WordSynonyms,SVM,pretrained-small,2,0.3448275862068966
WordSynonyms,NN,pretrained-small,2,0.4153605015673981
WordSynonyms,SVM,pretrained-small,3,0.3448275862068966
WordSynonyms,NN,pretrained-small,3,0.41849529780564265
WordSynonyms,SVM,pretrained-small,4,0.3448275862068966
WordSynonyms,NN,pretrained-small,4,0.39655172413793105
WordSynonyms,SVM,pretrained-small,5,0.3448275862068966
WordSynonyms,NN,pretrained-small,5,0.4153605015673981
WordSynonyms,SVM,pretrained-small,6,0.3448275862068966
WordSynonyms,NN,pretrained-small,6,0.4153605015673981
WordSynonyms,SVM,pretrained-small,7,0.3448275862068966
WordSynonyms,NN,pretrained-small,7,0.4216300940438871
WordSynonyms,SVM,pretrained-small,8,0.3448275862068966
WordSynonyms,NN,pretrained-small,8,0.4122257053291536
WordSynonyms,SVM,pretrained-small,9,0.3448275862068966
WordSynonyms,NN,pretrained-small,9,0.4200626959247649
WordSynonyms,SVM,pretrained-small,10,0.3448275862068966
WordSynonyms,NN,pretrained-small,10,0.4153605015673981
ECG5000,SVM,fine-tune,1,0.9302222222222222
ECG5000,NN,fine-tune,1,0.9255555555555556
ECG5000,SVM,fine-tune,2,0.9302222222222222
ECG5000,NN,fine-tune,2,0.9244444444444444
ECG5000,SVM,fine-tune,3,0.9302222222222222
ECG5000,NN,fine-tune,3,0.9242222222222222
ECG5000,SVM,fine-tune,4,0.9302222222222222
ECG5000,NN,fine-tune,4,0.9266666666666666
ECG5000,SVM,fine-tune,5,0.9302222222222222
ECG5000,NN,fine-tune,5,0.9268888888888889
ECG5000,SVM,fine-tune,6,0.9302222222222222
ECG5000,NN,fine-tune,6,0.9253333333333333
ECG5000,SVM,fine-tune,7,0.9302222222222222
ECG5000,NN,fine-tune,7,0.9193333333333333
ECG5000,SVM,fine-tune,8,0.9302222222222222
ECG5000,NN,fine-tune,8,0.9273333333333333
ECG5000,SVM,fine-tune,9,0.9302222222222222
ECG5000,NN,fine-tune,9,0.9275555555555556
ECG5000,SVM,fine-tune,10,0.9302222222222222
ECG5000,NN,fine-tune,10,0.9266666666666666
ECG5000,SVM,pretrained-small,1,0.9195555555555556
ECG5000,NN,pretrained-small,1,0.9168888888888889
ECG5000,SVM,pretrained-small,2,0.9195555555555556
ECG5000,NN,pretrained-small,2,0.918
ECG5000,SVM,pretrained-small,3,0.9195555555555556
ECG5000,NN,pretrained-small,3,0.9173333333333333
ECG5000,SVM,pretrained-small,4,0.9195555555555556
ECG5000,NN,pretrained-small,4,0.9173333333333333
ECG5000,SVM,pretrained-small,5,0.9195555555555556
ECG5000,NN,pretrained-small,5,0.9173333333333333
ECG5000,SVM,pretrained-small,6,0.9195555555555556
ECG5000,NN,pretrained-small,6,0.9108888888888889
ECG5000,SVM,pretrained-small,7,0.9195555555555556
ECG5000,NN,pretrained-small,7,0.9162222222222223
ECG5000,SVM,pretrained-small,8,0.9195555555555556
ECG5000,NN,pretrained-small,8,0.914
ECG5000,SVM,pretrained-small,9,0.9195555555555556
ECG5000,NN,pretrained-small,9,0.9053333333333333
ECG5000,SVM,pretrained-small,10,0.9195555555555556
ECG5000,NN,pretrained-small,10,0.9022222222222223
EthanolLevel,SVM,fine-tune,1,0.274
EthanolLevel,NN,fine-tune,1,0.436
EthanolLevel,SVM,fine-tune,2,0.274
EthanolLevel,NN,fine-tune,2,0.438
EthanolLevel,SVM,fine-tune,3,0.274
EthanolLevel,NN,fine-tune,3,0.438
EthanolLevel,SVM,fine-tune,4,0.274
EthanolLevel,NN,fine-tune,4,0.44
EthanolLevel,SVM,fine-tune,5,0.274
EthanolLevel,NN,fine-tune,5,0.444
EthanolLevel,SVM,fine-tune,6,0.274
EthanolLevel,NN,fine-tune,6,0.448
EthanolLevel,SVM,fine-tune,7,0.274
EthanolLevel,NN,fine-tune,7,0.448
EthanolLevel,SVM,fine-tune,8,0.274
EthanolLevel,NN,fine-tune,8,0.45
EthanolLevel,SVM,fine-tune,9,0.274
EthanolLevel,NN,fine-tune,9,0.452
EthanolLevel,SVM,fine-tune,10,0.274
EthanolLevel,NN,fine-tune,10,0.448
EthanolLevel,SVM,pretrained-small,1,0.29
EthanolLevel,NN,pretrained-small,1,0.468
EthanolLevel,SVM,pretrained-small,2,0.29
EthanolLevel,NN,pretrained-small,2,0.47
EthanolLevel,SVM,pretrained-small,3,0.29
EthanolLevel,NN,pretrained-small,3,0.47
EthanolLevel,SVM,pretrained-small,4,0.29
EthanolLevel,NN,pretrained-small,4,0.462
EthanolLevel,SVM,pretrained-small,5,0.29
EthanolLevel,NN,pretrained-small,5,0.462
EthanolLevel,SVM,pretrained-small,6,0.29
EthanolLevel,NN,pretrained-small,6,0.472
EthanolLevel,SVM,pretrained-small,7,0.29
